V,A,Greedy,DP,Slow
3,50,2.2578807736317596e-06,1.9653825825023673e-05,0.0009587269657674493
4,50,2.2065653015046482e-06,2.427221831654558e-05,0.0027102266604403904
5,50,2.771035494919527e-06,2.92498191129531e-05,0.005829899472990096
6,50,2.668404550654202e-06,3.335505688319973e-05,0.00956510137371518
7,50,2.8736664391626477e-06,3.76655565419437e-05,0.013882631252148859
8,50,2.8736664392070564e-06,4.1924740728660484e-05,0.018409169048559892
9,50,2.719720022792416e-06,4.4182621502208975e-05,0.023338174092870735
10,50,3.2841902163127656e-06,5.090494835098269e-05,0.028929969775187026
11,50,3.438136632638589e-06,5.270098987537608e-05,0.03374808208422912
12,50,3.4894521046879844e-06,5.649833481271571e-05,0.03902146526199139
13,50,3.28419021613513e-06,5.562597178681017e-05,0.04398669902962453
14,50,3.643398521191443e-06,6.393907827124678e-05,0.051365248135965304
15,50,5.234178157564884e-06,0.0001065309201379705,0.05851287761773065
16,50,5.2854936285484655e-06,0.00010873748543929195,0.061408763656329766
17,50,3.6433985215467146e-06,7.256007758940086e-05,0.06403601319833925
18,50,3.7460294649349634e-06,7.558769044493374e-05,0.0703310361106972
19,50,3.7460294656455063e-06,7.953898179877684e-05,0.07870808167370598
20,50,3.848660409744298e-06,8.723630261755488e-05,0.08308175067864738
21,50,4.002606826247757e-06,8.954549886368568e-05,0.08512395252292464
22,50,6.311803070957467e-06,0.00015071354163893603,0.09183247550969043
23,50,4.259184186139464e-06,9.123890944380264e-05,0.09593925274409401
24,50,5.3881245733578e-06,8.85705048929708e-05,0.10053024277349891
25,50,4.5157615474522576e-06,9.790992081946115e-05,0.10682321306697133
26,50,4.310499659254674e-06,0.00010104016461980337,0.11132871151981191
27,50,4.310499659254674e-06,0.00010360593822724695,0.1170196486942757
