A,Greedy,DP
2010,20,20
2015,18,18
2020,18,18
2025,16,16
2030,16,16
2035,21,19
2040,19,19
2045,19,19
2050,17,17
2055,22,19
2060,22,20
2065,20,20
2070,20,20
2075,18,18
2080,18,18
2085,23,20
2090,21,21
2095,21,21
2100,14,14
2105,19,19
2110,19,19
2115,17,17
2120,17,17
2125,17,17
2130,20,19
2135,20,18
2140,18,18
2145,18,18
2150,16,16
2155,21,18
2160,21,21
2165,19,19
2170,19,19
2175,17,17
2180,17,17
2185,22,20
2190,20,20
2195,20,20
2200,18,18
