A,Greedy,DP,Slow
1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,1,1,1
7,2,2,2
8,3,3,3
9,4,4,4
10,5,5,5
11,6,6,6
12,2,2,2
13,1,1,1
14,2,2,2
15,3,3,3
16,4,4,4
17,5,5,5
18,6,3,3
19,2,2,2
20,3,3,3
21,4,4,4
22,5,5,5
23,6,6,6
24,7,4,4
25,3,3,3
26,2,2,2
27,3,3,3
28,4,4,4
29,5,5,5
30,6,5,5
31,7,4,4
32,3,3,3
33,4,4,4
34,5,5,5
35,6,6,6
36,7,6,6
37,1,1,1
38,2,2,2
39,3,3,3
40,4,4,4
41,5,5,5
42,6,6,6
43,2,2,2
44,3,3,3
45,4,4,4
46,5,5,5
47,6,6,6
48,7,7,7
49,3,3,3
50,2,2,2
51,3,3,3
52,4,4,4
53,5,5,5
54,6,6,6
55,7,4,4
56,3,3,3
57,4,4,4
58,5,5,5
59,6,6,6
60,7,7,7
61,8,5,5
62,4,4,4
63,3,3,3
64,4,4,4
65,5,5,5
66,6,6,6
67,7,6,6
68,8,5,5
69,4,4,4
70,5,5,5
71,6,6,6
72,7,7,7
73,8,7,7
74,2,2,2
75,3,3,3
76,4,4,4
77,5,5,5
78,6,6,6
79,7,7,7
80,3,3,3
81,4,4,4
82,5,5,5
83,6,6,6
84,7,7,7
85,8,8,8
86,4,4,4
87,3,3,3
88,4,4,4
89,5,5,5
90,6,6,6
91,7,7,7
92,8,5,5
93,4,4,4
94,5,5,5
95,6,6,6
96,7,7,7
97,8,8,8
98,9,6,6
99,5,5,5
100,4,4,4
101,5,5,5
102,6,6,6
103,7,7,7
104,8,7,7
105,9,6,6
106,5,5,5
107,6,6,6
108,7,7,7
109,8,8,8
110,9,8,8
111,3,3,3
112,4,4,4
113,5,5,5
114,6,6,6
115,7,7,7
116,8,8,8
117,4,4,4
118,5,5,5
119,6,6,6
120,7,7,7
121,8,8,8
122,9,9,9
123,5,5,5
124,4,4,4
125,5,5,5
126,6,6,6
127,7,7,7
128,8,8,8
129,9,6,6
130,5,5,5
131,6,6,6
132,7,7,7
133,8,8,8
134,9,9,9
135,10,7,7
136,6,6,6
137,5,5,5
138,6,6,6
139,7,7,7
140,8,8,8
141,9,8,8
142,10,7,7
143,6,6,6
144,7,7,7
145,8,8,8
146,9,9,9
147,10,9,9
148,4,4,4
149,5,5,5
150,1,1,1
151,2,2,2
152,3,3,3
153,4,4,4
154,5,5,5
155,6,6,6
156,2,2,2
157,3,3,3
158,4,4,4
159,5,5,5
160,6,6,6
161,7,5,5
162,3,3,3
163,2,2,2
164,3,3,3
165,4,4,4
166,5,5,5
167,6,6,6
168,7,4,4
169,3,3,3
170,4,4,4
171,5,5,5
172,6,6,6
173,7,7,7
174,8,5,5
175,4,4,4
176,3,3,3
177,4,4,4
178,5,5,5
179,6,6,6
180,7,6,6
181,8,5,5
182,4,4,4
183,5,5,5
184,6,6,6
185,7,5,5
186,8,6,6
187,2,2,2
188,3,3,3
189,4,4,4
190,5,5,5
191,6,6,6
192,7,7,7
193,3,3,3
194,4,4,4
195,5,5,5
196,6,6,6
197,7,7,7
198,8,6,6
199,4,4,4
200,3,3,3
201,4,4,4
202,5,5,5
203,6,6,6
204,7,7,7
205,8,5,5
206,4,4,4
207,5,5,5
208,6,6,6
209,7,7,7
210,8,8,8
211,9,6,6
212,5,5,5
213,4,4,4
214,5,5,5
215,6,6,6
216,7,7,7
217,8,7,7
218,9,6,6
219,5,5,5
220,6,6,6
221,7,7,7
222,8,6,6
223,9,7,7
224,3,3,3
225,4,4,4
226,5,5,5
227,6,6,6
228,7,7,7
229,8,8,8
230,4,4,4
231,5,5,5
232,6,6,6
233,7,7,7
234,8,8,8
235,9,7,7
236,5,5,5
237,4,4,4
238,5,5,5
239,6,6,6
240,7,7,7
241,8,8,8
242,9,6,6
243,5,5,5
244,6,6,6
245,7,7,7
246,8,8,8
247,9,9,9
248,10,7,7
249,6,6,6
250,5,5,5
251,6,6,6
252,7,7,7
253,8,8,8
254,9,8,8
255,10,7,7
256,6,6,6
257,7,7,7
258,8,8,8
259,9,7,7
260,10,8,8
261,4,4,4
262,5,5,5
263,6,6,6
264,7,7,7
265,8,8,8
266,9,9,9
267,5,5,5
268,6,6,6
269,7,7,7
270,8,8,8
271,9,9,9
272,10,8,8
273,6,6,6
274,5,5,5
275,6,6,6
276,7,7,7
277,8,8,8
278,9,9,9
279,10,7,7
280,6,6,6
281,7,7,7
282,8,8,8
283,9,9,9
284,10,10,10
285,11,8,8
286,7,7,7
287,6,6,6
288,7,7,7
289,8,8,8
290,9,9,9
291,10,9,9
292,11,8,8
293,7,7,7
294,8,8,8
295,9,9,9
296,10,8,8
297,11,9,9
298,5,5,5
299,6,6,6
300,2,2,2
