A,Greedy,DP,Slow
1,1,1,1
2,1,1,1
3,2,2,2
4,1,1,1
5,2,2,2
6,1,1,1
7,2,2,2
8,1,1,1
9,2,2,2
10,1,1,1
11,2,2,2
12,1,1,1
13,2,2,2
14,1,1,1
15,2,2,2
16,1,1,1
17,2,2,2
18,1,1,1
19,2,2,2
20,1,1,1
21,2,2,2
22,1,1,1
23,2,2,2
24,1,1,1
25,2,2,2
26,1,1,1
27,2,2,2
28,1,1,1
29,2,2,2
30,1,1,1
31,2,2,2
32,2,2,2
33,3,3,3
34,2,2,2
35,3,3,3
36,2,2,2
37,3,3,3
38,2,2,2
39,3,3,3
40,2,2,2
41,3,3,3
42,2,2,2
43,3,3,3
44,2,2,2
45,3,3,3
46,2,2,2
47,3,3,3
48,2,2,2
49,3,3,3
50,2,2,2
51,3,3,3
52,2,2,2
53,3,3,3
54,2,2,2
55,3,3,3
56,2,2,2
57,3,3,3
58,2,2,2
59,3,3,3
60,2,2,2
61,3,3,3
62,3,3,3
63,4,4,4
64,3,3,3
65,4,4,4
66,3,3,3
67,4,4,4
68,3,3,3
69,4,4,4
70,3,3,3
71,4,4,4
72,3,3,3
73,4,4,4
74,3,3,3
75,4,4,4
